word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
zdipincarcukla	lujvo			$x_1$ is a merry-go-round.	Cf. {zdile}, {kelci}, {zdirajycarcukla}, {zdidadysli}, {zdima'ateryre'e}.			2	merry-go-round	amusement ride																																							merry-go-round	amusement ride												
zdirajycarcukla	lujvo			$x_1$ is a Ferris wheel.	Cf. {zdile}, {kelci}, {zdipincarcukla}, {zdirajycarcukla}, {zdidadysli}, {zdima'ateryre'e}.			2																																																						
zdiraxa	fu'ivla			$x_1$ is a chinaberry of variety $x_2$.	See also {margosa}.			2	chinaberry																																																					
zdire'e	lujvo			$x_1$ is a roller coaster	shortening of {zdima'ateryre'e}			2	roller coaster	amusement ride	coaster	roller coaster																																																		
zditeitortei	lujvo			$x_0$: Time flies when you're having fun. (nullary predicate)				1	time flies when you're having fun																																																					
zdizuca	fu'ivla			$x_1$ does $x_2$ as a hobby; $x_2$ is a hobby of $x_1$	From the lujvo {zdizukseltcaci}. See {tcaci}, {zukte}, {zdile}.			2	hobby																																								hobby													
zdizu'e	lujvo			$x1=zd2=zu1$ plays by doing $x2=zd1=zu2$	as opposed to playing with a toy object			2	play	undergo an activity for entertainment																																																				
zdocinfo	lujvo			$z_1=c_1$ is an Asiatic lion [Panthera leo persica] of breed $c_2$.				1	asiatic lion																																																					
zdokumte	lujvo			$x_1$ is a Bactrian camel/Camelus bactrianus of breed $x_2$.	Cf. {kumte}, {rabykumte}, {tcokumte}, {mabru}.			2	Bactrian camel																																																					
zdoperli	lujvo			$p_1$ is an Asian/Chinese/Korean/Japanese/Taiwan/sand/nashi/apple pear (Pyrus pyrifolia) [fruit] of variety $p_2$.				1	asian pear	fruit (Pyrus pyrifolia)	nashi pear	fruit (Pyrus pyrifolia)	sand pear	fruit (Pyrus pyrifolia)	apple pear	fruit (Pyrus pyrifolia)																																														
zdotu'a	lujvo			$z_1=t_1$ is Asia.	Cf. {braplu}, {rontu'a}, {bemtu'a}, {tcotu'a}, {sralytu'a}, {frikytu'a}, {ziptu'a}.			3	Asia																																																					
zdoxanto	lujvo			$x_1=z_1$ is an Asian elephant (Elephas maximus) of breed $x_2$.	See also {xantrelefa}, {xanto}, {fi'orxanto}.			2	Asian elephant	Elephas maximus																																																				
zdoxasli	lujvo			$xaz_1=xas_1$ is an Asiatic wild ass/onager [Equus hemionus] of subspecies/breed $xas_2$.				1	Asiatic wild ass	donkey (Equus hemionus)	onager 	donkey (Equus hemionus)																																																		
zduriane	obsolete fu'ivla			$x_1$ is a durian (Durio zibethinus) of breed $x_2$	See {tcempedake}			3	durian																																																					
zduriiane	fu'ivla			$x_1$ is a durian (Durio zibethinus) of breed $x_2$	See {tcempedake}			2	durian																																																					
ze	cmavo	zel	PA1	digit/number: 7 (digit) [seven].				100000	7																																																					
ze'a	cmavo		ZEhA	time tense interval: a medium length of time.				100000	medium time interval																																																					
ze'aba	cmavo-compound		ZEhA*	time tense: a medium time interval offset towards the future; (tense/modal).				100000	for a while after																																																					
ze'aca	cmavo-compound		ZEhA*	time tense: a medium time interval spanning the present; (tense/modal).				100000	for a while during																																																					
ze'ai	experimental cmavo		TAhE	tense interval modifier: increasingly...; incrementative. Tagged sumti, if present, indicates amount of increase (lo te zenba)	Alternate form: {zei'a}. See {zenba}. Opposite of {dei'a}			2																																																						
ze'ai'au	experimental cmavo			unary mekso operator: reverse ordered list/tuple $X_1$.	If $X_1 = (x_1, x_2, x_3, ..., x_n)$, then ze'ai'au$(X_1) = (x_n, x_{(n-1)}, x_{(n-2)}, ..., x_3, x_2, x_1$; (note the casing). This is essentially equivalent to reindexing/permuting of indices in a specific way. If $X_1$ is an empty list/tuple or is a singleton/one-element list/tuple, then the output is $X_1$. If $X_2$ has infinitely many terms, then the result is indeed the reversal thereof, but accessing any given term becomes basically impossible without the usage of "{ro}". It is conceivable that this word might be able to be applied to comparison operators/ordering relations, strings, numeric strings (endianness switching), etc. as well.			1	reverse ordered list	operator	reverse ordered tuple	operator																																																		
ze'ai'e	experimental cmavo		SE	selbri conversion: permute all terbri so as to be exactly backward.	For an exactly-n-terbri selbri, it is the (n, n-1, n-2, ..., 2, 1)rd conversion. For zero- or one-terbri selbri, it is trivial (identity - no noticeable change); for one-terbri selbri, this is "{re'au'e}". For two-terbri selbri, it is equivalent to "{se}"; it is the 2nd (id est: (2, 1)th) conversion in this case. For a three-terbri selbri, this is equivalent to "{te}"; it is the 3rd (id est: (3, 1)th) conversion in this case. For four-terbri selbri, it is the (4, 3, 2, 1)rd conversion. For five-terbri selbri, it is the (5, 4, 3, 2, 1)rd conversion. The meaning of the result in the context of its being applied to a selbri with opened-ended terbri structure (such as "{jutsi}") is as described in the commentary for this entry (i.e.: reverses endianness).			2	backward conversion																																																					
ze'apu	cmavo-compound		ZEhA*	time tense: a medium time interval offset towards the past; (tense/modal).				100000	for a while before																																																					
ze'au	experimental cmavo		PA4	subjective number which is increasing over time	See also {zenba}, {zilzena}, {ja'au}, {so'au}.			3	increasing number																																																					
ze'au'e	experimental cmavo		SE	last-th conversion: switches the last terbri with the first one.	For exactly-n-terbri, this it the nth conversion. For a one-terbri word, this is equivalent to {re'au'e}. For two-terbri selbri, this is {se}. For three-terbri selbri, this is {te}. For four-terbri selbri, this is {ve}. For five-terbri selbri, this is {xe}. In general, this might be equivalent to {sexiro}, although this might be debatable. The meaning of the result in the context of its being applied to a selbri with opened-ended terbri structure (such as "{jutsi}") is yet to be explored.			2	last-th conversion																																																					
ze'e	cmavo	        ze'e	ZEhA	time tense interval: the whole of time.				100000	whole time interval																																																					
ze'e'a	experimental cmavo		SEhEhI	n-Merge Conversion: placed immediately before a selbri, merges $x_2$ and all $x_a$ places.	In "$x_a$", "$a$" is not a variable; "$x_a$" refers to any sumti slot(s) after the first $n$, where $n$ is a function of the brivla (and is not defined for some brivla), such that it/they is/are part of an open-ended or arbitrarily large relation of mutually similar 'form' (possibly by analogy); for example, all sumti slots of "{jutsi}" except jutsi1 are $x_a$-type slots. See also: "{ze'e'i}", "{te'e'a}".			1																																																						
ze'e'au	experimental cmavo		SEhEhI	n-Merge Conversion: placed immediately before a selbri, merges all $x_a$ places.	In "$x_a$", "$a$" is not a variable; "$x_a$" refers to any sumti slot(s) after the first $n$, where $n$ is a function of the brivla (and is not defined for some brivla), such that it/they is/are part of an open-ended or arbitrarily large relation of mutually similar 'form' (possibly by analogy); for example, all sumti slots of "{jutsi}" except jutsi1 are $x_a$-type slots. See also: "{ze'e'i}".			1																																																						
ze'e'e	experimental cmavo		SEhEhI	n-Merge Conversion: placed immediately before a selbri, merges $x_5$ and all $x_a$ places.	In "$x_a$", "$a$" is not a variable; "$x_a$" refers to any sumti slot(s) after the first $n$, where $n$ is a function of the brivla (and is not defined for some brivla), such that it/they is/are part of an open-ended or arbitrarily large relation of mutually similar 'form' (possibly by analogy); for example, all sumti slots of "{jutsi}" except jutsi1 are $x_a$-type slots. See also: "{ze'e'i}".			1																																																						
ze'e'i	experimental cmavo		SEhEhI	n-Merge Conversion: placed immediately before a selbri, merges $x_1$ and all $x_a$ places.	In "$x_a$", "$a$" is not a variable; "$x_a$" refers to any sumti slot(s) after the first $n$, where $n$ is a function of the brivla (and is not defined for some brivla), such that it/they is/are part of an open-ended or arbitrarily large relation of mutually similar 'form' (possibly by analogy); for example, all sumti slots of "{jutsi}" except jutsi1 are $x_a$-type slots (therefore, "ze'e'i jutsi" is necessarily a 1-slot selbri in which the species is the same as the genus and that is the same as the family etc. - a concept which is of limited utility in this particular case, but which might be used in application to the very first lifeform). See also: "{te'e'i}".			1																																																						
ze'ei	experimental cmavo		SI	nonce word with existing grammar	Binds two arbitrary words together to form a nonce word whose semantics are indicated by the left word and whose grammar is the same as that of the right word. Useful for creating function words without having to allocate experimental cmavo forms.			4	nonce cmavo		nonce word																																																			
ze'e'o	experimental cmavo		SEhEhI	n-Merge Conversion: placed immediately before a selbri, merges $x_4$ and all $x_a$ places.	In "$x_a$", "$a$" is not a variable; "$x_a$" refers to any sumti slot(s) after the first $n$, where $n$ is a function of the brivla (and is not defined for some brivla), such that it/they is/are part of an open-ended or arbitrarily large relation of mutually similar 'form' (possibly by analogy); for example, all sumti slots of "{jutsi}" except jutsi1 are $x_a$-type slots. See also: "{ze'e'i}", "{xe'e'o}".			1																																																						
ze'erpezytricu	lujvo			$x_1$ is an evergreen tree of species/variety $x_2$.	see also {pezyfaltricu}, {ckunu}			2	evergreen		evergreen tree																																																			
ze'e'u	experimental cmavo		SEhEhI	n-Merge Conversion: placed immediately before a selbri, merges $x_3$ and all $x_a$ places.	In "$x_a$", "$a$" is not a variable; "$x_a$" refers to any sumti slot(s) after the first $n$, where $n$ is a function of the brivla (and is not defined for some brivla), such that it/they is/are part of an open-ended or arbitrarily large relation of mutually similar 'form' (possibly by analogy); for example, all sumti slots of "{jutsi}" except jutsi1 are $x_a$-type slots. See also: "{ze'e'i}", "{ve'e'u}".			1																																																						
